Kategori,Beskrivning,Belopp,Andel Gabriel,Andel Debbie,,,
Hyra,Närkehem,17847,8924,8924,,,
El + Vatten,,2000,1000,1000,,,
Parkering,,1100,550,550,,,
Streaming,,500,250,250,,,
Försäkring,,200,100,100,,,
Internet,,500,250,250,,,
Förbrukningsartiklar,,500,250,250,,,
Mat o livsmedel,,7500,4875,2625,7500,,
Möbler osv,,1000,500,500,,,
,,,,,,,
,,,,,,,
,,,16699,14449,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,31148,9501
