Kategori,Budget (kr)
,
,
,
,
Bil,2000
Träning,1000
,
Transport,500
Nöje,1000
Shopping,1500
Skulder/Krediter,15293
Golf,500
Spel,500
Telefon,250
,
,
23301,
,
,22543
,
,758
